building_id,name,crossings,desc
1,1号楼,"182,169,181","type=college,osm=way/258363503"
2,12号楼,"165,157,158","type=university,osm=way/315240173"
3,励吾科技大楼,"269,260,268","type=university,osm=way/315241220"
4,6号楼（建筑红楼）,"255,254,261","type=university,osm=way/315242639"
5,7号楼,"261,254,260","type=university,osm=way/315242653"
6,18号楼（物理与光电学院）,"153,143,131","type=school,osm=way/331708003"
7,逸夫人文馆,"231,232,233","type=university,osm=way/331708005"
8,网络学院大楼,"333,332,334","type=university,osm=way/331709494"
9,31号楼（慎思楼）,"264,256,250","type=university,osm=way/334895535"
10,30号楼（宏生科技楼）,"256,258,250","type=university,osm=way/334895536"
11,10号楼,"251,244,231","type=university,osm=way/334895538"
12,19号楼,"250,232,256","type=university,osm=way/334895539"
13,西湖苑宾馆,"213,219,228","type=hotel,osm=way/334895540"
14,4号楼,"194,203,206","type=university,desc=华南理工大学数学学院、外国语学院,osm=way/360052165"
15,3号楼,"193,185,192","type=university,desc=华南理工大学自动化科学与工程学院,osm=way/360052166"
16,2号楼,"202,192,194","type=school,osm=way/360052167"
17,23号楼,"158,157,153","type=university,osm=way/360052996"
18,22号楼,"162,165,143","type=university,osm=way/360052997"
19,汕头校友楼,"143,142,153","type=university,osm=way/360053003"
20,5号楼,"178,175,174","type=university,desc=华南理工大学公共管理学院、马克思主义学院,osm=way/360054608"
21,8号楼,"259,268,252","type=university,osm=way/360055897"
22,9号楼,"252,245,251","type=university,desc=华南理工大学电力学院,osm=way/360055899"
23,逸夫科学馆,"249,252,245","type=university,osm=way/362682630"
24,逸夫工程馆,"97,121,131","type=university,desc=华南理工大学化学与化工学院,osm=way/365982008"
25,土交学院,"23,53,15","type=university,osm=way/365994297"
26,热材料工程楼,"79,99","type=university,osm=way/365995702"
27,造纸实验楼,121,"type=university,osm=way/365995703"
28,光电楼,99,"type=university,osm=way/365995704"
29,资源与造纸工程楼（造纸大楼）,143,"type=university,osm=way/365995705"
30,25号楼（唯美楼）,"121,131,97","type=university,desc=华南理工大学材料科学与工程学院,osm=way/365995706"
31,28号楼,"97,121","type=university,osm=way/365995707"
32,16号楼,"97,59","type=university,osm=way/365995708"
33,15号楼,"59,53,60","type=university,osm=way/365995709"
34,20号楼,"269,268,260","type=university,osm=way/365995713"
35,29号楼,"267,268,259","type=university,osm=way/365995714"
36,北区1号楼,"338,339,335","type=university,osm=way/370313926"
37,北区3号楼,"335,339,338","type=university,osm=way/370313927"
38,北区2号楼,"339,338,335","type=university,osm=way/370313928"
39,科技园2号楼,"325,316,314","type=university,osm=way/370313929"
40,科技园1号楼,"314,318,319","type=university,osm=way/370313931"
41,清清文理楼,"168,163,180","type=yes,osm=way/539648202"
42,博学楼,"348,349,345","type=university,osm=way/567864928"
43,35号楼,"352,350,347","type=university,osm=way/567864929"
44,33号楼,"228,262,230","type=university,osm=way/568400205"
45,34号楼,"262,265,257","type=university,osm=way/568400206"
46,38号楼,"277,280,272","type=university,osm=way/568400214"
47,华南理工大学热加工楼,"282,280,277","type=yes,osm=way/568400215"
48,继续教育学院,"299,298,294","type=school,osm=way/568660903"
49,24号楼,"158,153,131","type=school,osm=way/568660913"
50,北区5号楼,"339,338,345","type=school,osm=way/569329713"
51,北区4号楼,"327,325,330","type=school,osm=way/569329714"
52,32号楼,"230,238,250","type=university,osm=way/569329715"
53,13号楼,"142,144,143","type=university,osm=way/569329732"
54,麟鸿楼,"130,134,104","type=university,osm=way/569329733"
55,14号楼,"104,130,99","type=university,osm=way/569329734"
56,26号楼,"324,328,332","type=university,desc=大学生创新创业园,osm=way/571878471"
57,管工楼,"332,326,320","type=university,desc=清洁能源流体机械实验室,osm=way/571878474"
58,中公教育大楼,"29,7,23","type=commercial,osm=way/996123642"
59,东六宿舍楼,"222,206,220","type=apartments,osm=way/1018461172"
60,道明游泳馆,"60,57,59","type=stadium,osm=way/1190303552"
