intersection_id,out_degree,in_degree,unique_neighbors,cluster_size
1,1,1,1,1
2,1,1,1,1
3,1,1,1,1
4,3,3,3,1
5,3,3,3,1
6,1,1,1,1
7,2,2,2,4
8,4,4,4,1
9,4,4,4,1
10,4,4,4,1
11,1,1,1,1
12,3,3,3,1
13,1,1,1,1
14,3,3,3,1
15,3,3,3,1
16,3,3,3,1
17,2,2,2,2
18,3,3,3,1
19,3,3,3,1
20,4,4,4,1
21,3,3,3,1
22,3,3,3,1
23,3,3,3,1
24,3,3,3,1
25,3,3,3,1
26,3,3,3,1
27,3,3,3,1
28,1,1,1,1
29,3,3,3,2
30,4,4,4,1
31,3,3,3,1
32,3,3,3,1
33,2,2,2,1
34,4,4,4,2
35,3,3,3,1
36,4,4,4,1
37,2,2,2,1
38,3,3,3,1
39,3,3,3,1
40,4,4,4,1
41,3,3,3,1
42,3,3,3,1
43,3,3,3,1
44,5,5,5,1
45,4,4,4,2
46,2,2,2,1
47,3,3,3,2
48,3,3,3,1
49,3,3,3,1
50,3,3,3,1
51,3,3,3,1
52,3,3,3,1
53,3,3,3,1
54,1,1,1,1
55,3,3,3,1
56,3,3,3,2
57,3,3,3,1
58,1,1,1,1
59,3,3,3,1
60,3,3,3,1
61,2,2,2,4
62,1,1,1,1
63,3,3,3,1
64,3,3,3,1
65,2,2,2,1
66,2,2,2,2
67,2,2,2,2
68,3,3,3,1
69,1,1,1,1
70,5,5,5,4
71,4,4,4,1
72,3,3,3,1
73,3,3,3,1
74,3,3,3,1
75,3,3,3,1
76,1,1,1,1
77,3,3,3,1
78,4,4,4,1
79,3,3,3,1
80,3,3,3,1
81,3,3,3,1
82,3,3,3,1
83,3,3,3,1
84,1,1,1,1
85,3,3,3,1
86,7,7,7,4
87,3,3,3,1
88,3,3,3,1
89,3,3,3,1
90,3,3,3,1
91,1,1,1,1
92,4,4,4,2
93,3,3,3,1
94,2,2,2,2
95,3,3,3,1
96,3,3,3,1
97,3,3,3,1
98,4,4,4,1
99,3,3,3,1
100,3,3,3,1
101,3,3,3,1
102,3,3,3,1
103,1,1,1,1
104,3,3,3,2
105,2,2,2,2
106,3,3,3,1
107,3,3,3,1
108,4,4,4,1
109,2,2,2,1
110,6,6,6,2
111,1,1,1,1
112,3,3,3,1
113,2,2,2,2
114,3,3,3,1
115,3,3,3,1
116,4,4,4,1
117,3,3,3,1
118,3,3,3,1
119,6,6,6,3
120,5,5,5,2
121,3,3,3,1
122,1,1,1,1
123,3,3,3,1
124,6,6,6,2
125,3,3,3,1
126,3,3,3,1
127,1,1,1,1
128,1,1,1,1
129,4,4,4,3
130,2,2,2,3
131,3,3,3,1
132,4,4,4,2
133,3,3,3,1
134,1,1,1,1
135,3,3,3,1
136,3,3,3,1
137,3,3,3,1
138,4,4,4,1
139,1,1,1,1
140,3,3,3,1
141,1,1,1,1
142,4,4,4,2
143,3,3,3,1
144,3,3,3,1
145,3,3,3,1
146,4,4,4,2
147,2,2,2,3
148,3,3,3,1
149,3,3,3,1
150,4,4,4,1
151,3,3,3,1
152,3,3,3,1
153,2,2,2,1
154,3,3,3,1
155,3,3,3,1
156,3,3,3,1
157,2,2,2,4
158,2,2,2,1
159,3,3,3,1
160,1,1,1,1
161,1,1,1,1
162,4,4,4,2
163,2,2,2,1
164,3,3,3,1
165,1,1,1,1
166,3,3,3,1
167,1,1,1,1
168,4,4,4,2
169,1,1,1,1
170,3,3,3,1
171,4,4,4,2
172,3,3,3,3
173,4,4,4,1
174,3,3,3,1
175,2,2,2,2
176,3,3,3,1
177,4,4,4,1
178,1,1,1,1
179,3,3,3,1
180,4,4,4,2
181,3,3,3,1
182,2,2,2,1
183,1,1,1,1
184,3,3,3,1
185,2,2,2,1
186,4,4,4,1
187,2,2,2,1
188,4,4,4,2
189,3,3,3,1
190,1,1,1,1
191,3,3,3,1
192,5,5,5,4
193,1,1,1,1
194,1,1,1,1
195,3,3,3,2
196,1,1,1,1
197,1,1,1,1
198,1,1,1,1
199,3,3,3,1
200,4,4,4,2
201,1,1,1,1
202,1,1,1,1
203,3,3,3,1
204,3,3,3,1
205,1,1,1,1
206,2,2,2,1
207,3,3,3,1
208,2,2,2,1
209,3,3,3,1
210,3,3,3,1
211,3,3,3,2
212,2,2,2,1
213,3,3,3,1
214,3,3,3,2
215,3,3,3,2
216,4,4,4,2
217,1,1,1,1
218,1,1,1,1
219,3,3,3,1
220,3,3,3,1
221,3,3,3,1
222,3,3,3,1
223,3,3,3,1
224,1,1,1,1
225,3,3,3,1
226,3,3,3,1
227,3,3,3,1
228,4,4,4,3
229,3,3,3,1
230,1,1,1,1
231,1,1,1,1
232,3,3,3,1
233,4,4,4,1
234,1,1,1,1
235,3,3,3,1
236,3,3,3,1
237,3,3,3,1
238,3,3,3,2
239,3,3,3,1
240,3,3,3,1
241,3,3,3,1
242,3,3,3,1
243,3,3,3,1
244,3,3,3,1
245,3,3,3,1
246,1,1,1,1
247,1,1,1,1
248,3,3,3,1
249,1,1,1,1
250,3,3,3,1
251,3,3,3,1
252,1,1,1,1
253,3,3,3,1
254,4,4,4,1
255,1,1,1,1
256,3,3,3,1
257,3,3,3,1
258,4,4,4,1
259,3,3,3,1
260,3,3,3,1
261,1,1,1,1
262,3,3,3,1
263,3,3,3,1
264,3,3,3,1
265,4,4,4,2
266,3,3,3,1
267,3,3,3,1
268,3,3,3,1
269,2,2,2,1
270,3,3,3,1
271,3,3,3,1
272,4,4,4,1
273,3,3,3,1
274,3,3,3,1
275,3,3,3,1
276,1,1,1,1
277,3,3,3,1
278,1,1,1,1
279,4,4,4,1
280,3,3,3,1
281,3,3,3,1
282,1,1,1,1
283,3,3,3,1
284,1,1,1,1
285,3,3,3,1
286,3,3,3,1
287,3,3,3,1
288,2,2,2,1
289,3,3,3,1
290,3,3,3,1
291,1,1,1,1
292,3,3,3,1
293,1,1,1,1
294,3,3,3,1
295,3,3,3,1
296,5,5,5,2
297,3,3,3,1
298,2,2,2,1
299,2,2,2,1
300,3,3,3,1
301,4,4,4,1
302,4,4,4,1
303,4,4,4,1
304,2,2,2,1
305,1,1,1,1
306,4,4,4,1
307,3,3,3,1
308,3,3,3,1
309,4,4,4,3
310,1,1,1,1
311,3,3,3,1
312,3,3,3,1
313,4,4,4,2
314,2,2,2,1
315,3,3,3,1
316,3,3,3,1
317,4,4,4,1
318,1,1,1,1
319,3,3,3,1
320,3,3,3,1
321,3,3,3,1
322,3,3,3,1
323,2,2,2,1
324,3,3,3,1
325,1,1,1,1
326,3,3,3,1
327,3,3,3,1
328,3,3,3,1
329,4,4,4,1
330,3,3,3,2
331,3,3,3,1
332,4,4,4,2
333,3,3,3,1
334,7,7,7,5
335,1,1,1,2
336,3,3,3,1
337,3,3,3,1
338,1,1,1,1
339,3,3,3,4
340,3,3,3,1
341,3,3,3,1
342,3,3,3,1
343,4,4,4,1
344,5,5,5,3
345,4,4,4,2
346,3,3,3,1
347,4,4,4,1
348,3,3,3,1
349,6,6,6,3
350,3,3,3,1
351,3,3,3,1
352,3,3,3,1
353,2,2,2,2
354,3,3,3,1
355,3,3,3,1
356,3,3,3,1
357,1,1,1,1
358,3,3,3,1
359,1,1,1,1
360,1,1,1,1
