edge_id,u,v,walk,car,walk_allowed,car_allowed
1,91,51,420,420,True,True
2,51,91,420,420,True,True
3,51,50,37,37,True,True
4,50,51,37,37,True,True
5,50,49,53,53,True,True
6,49,50,53,53,True,True
7,49,48,21,21,True,True
8,48,49,21,21,True,True
9,215,210,17,17,True,True
10,210,215,17,17,True,True
11,210,162,215,215,True,True
12,162,210,215,215,True,True
13,162,142,74,74,True,True
14,142,162,74,74,True,True
15,215,220,223,223,True,True
16,220,215,223,223,True,True
17,220,222,67,67,True,True
18,222,220,67,67,True,True
19,222,227,81,81,True,True
20,227,222,81,81,True,True
21,227,236,35,35,True,True
22,236,227,35,35,True,True
23,236,243,91,91,True,True
24,243,236,91,91,True,True
25,56,75,75,75,True,True
26,75,56,75,75,True,True
27,75,81,27,27,True,True
28,81,75,27,27,True,True
29,81,86,28,28,True,True
30,86,81,28,28,True,True
31,86,101,28,28,True,True
32,101,86,28,28,True,True
33,101,110,28,28,True,True
34,110,101,28,28,True,True
35,110,118,24,24,True,True
36,118,110,24,24,True,True
37,118,124,28,28,True,True
38,124,118,28,28,True,True
39,124,150,106,106,True,True
40,150,124,106,106,True,True
41,150,154,25,25,True,True
42,154,150,25,25,True,True
43,154,159,60,60,True,True
44,159,154,60,60,True,True
45,159,172,50,50,True,True
46,172,159,50,50,True,True
47,172,189,112,112,True,True
48,189,172,112,112,True,True
49,189,191,67,67,True,True
50,191,189,67,67,True,True
51,191,195,163,163,True,True
52,195,191,163,163,True,True
53,188,195,53,53,True,True
54,195,188,53,53,True,True
55,70,94,100000000,172,False,True
56,119,147,100000000,175,False,True
57,94,119,100000000,111,False,True
58,233,240,19,19,True,True
59,240,233,19,19,True,True
60,240,244,19,19,True,True
61,244,240,19,19,True,True
62,244,251,30,30,True,True
63,251,244,30,30,True,True
64,251,258,34,34,True,True
65,258,251,34,34,True,True
66,258,266,48,48,True,True
67,266,258,48,48,True,True
68,233,235,51,51,True,True
69,235,233,51,51,True,True
70,235,237,89,89,True,True
71,237,235,89,89,True,True
72,237,241,80,80,True,True
73,241,237,80,80,True,True
74,241,243,140,140,True,True
75,243,241,140,140,True,True
76,243,222,90,90,True,True
77,222,243,90,90,True,True
78,233,238,162,162,True,True
79,238,233,162,162,True,True
80,238,228,135,135,True,True
81,228,238,135,135,True,True
82,228,257,144,144,True,True
83,257,228,144,144,True,True
84,257,262,32,32,True,True
85,262,257,32,32,True,True
86,262,265,22,22,True,True
87,265,262,22,22,True,True
88,265,279,106,106,True,True
89,279,265,106,106,True,True
90,279,283,21,21,True,True
91,283,279,21,21,True,True
92,283,286,23,23,True,True
93,286,283,23,23,True,True
94,286,287,31,31,True,True
95,287,286,31,31,True,True
96,287,290,159,159,True,True
97,290,287,159,159,True,True
98,290,296,321,321,True,True
99,296,290,321,321,True,True
100,7,29,82,86,True,True
101,188,186,33,33,True,True
102,186,188,33,33,True,True
103,186,180,27,27,True,True
104,180,186,27,27,True,True
105,180,168,61,61,True,True
106,168,180,61,61,True,True
107,168,163,18,18,True,True
108,163,168,18,18,True,True
109,296,302,56,56,True,True
110,302,296,56,56,True,True
111,302,315,150,150,True,True
112,315,302,150,150,True,True
113,315,322,54,54,True,True
114,322,315,54,54,True,True
115,322,329,43,43,True,True
116,329,322,43,43,True,True
117,347,343,74,74,True,True
118,343,347,74,74,True,True
119,343,341,67,67,True,True
120,341,343,67,67,True,True
121,341,340,21,21,True,True
122,340,341,21,21,True,True
123,340,342,104,104,True,True
124,342,340,104,104,True,True
125,342,348,61,61,True,True
126,348,342,61,61,True,True
127,348,345,59,59,True,True
128,345,348,59,59,True,True
129,345,336,80,80,True,True
130,336,345,80,80,True,True
131,336,329,103,103,True,True
132,329,336,103,103,True,True
133,315,314,77,100000000,True,False
134,314,315,77,100000000,True,False
135,325,316,110,110,True,True
136,316,325,110,110,True,True
137,316,307,87,87,True,True
138,307,316,87,87,True,True
139,310,307,24,24,True,True
140,307,310,24,24,True,True
141,307,296,297,297,True,True
142,296,307,297,297,True,True
143,296,284,769,769,True,True
144,284,296,769,769,True,True
145,329,328,23,23,True,True
146,328,329,23,23,True,True
147,328,332,136,136,True,True
148,332,328,136,136,True,True
149,332,333,96,96,True,True
150,333,332,96,96,True,True
151,333,334,54,54,True,True
152,334,333,54,54,True,True
153,334,347,90,90,True,True
154,347,334,90,90,True,True
155,74,87,87,87,True,True
156,87,74,87,100000000,True,False
157,87,92,29,29,True,True
158,92,87,29,100000000,True,False
159,92,99,25,25,True,True
160,99,92,25,100000000,True,False
161,142,59,401,401,True,True
162,59,142,401,401,True,True
163,142,144,84,84,True,True
164,144,142,84,84,True,True
165,144,145,27,27,True,True
166,145,144,27,27,True,True
167,104,130,81,81,True,True
168,130,104,81,81,True,True
169,130,145,75,75,True,True
170,145,130,75,75,True,True
171,145,146,27,27,True,True
172,146,145,27,27,True,True
173,146,149,77,77,True,True
174,149,146,77,77,True,True
175,149,151,68,68,True,True
176,151,149,68,68,True,True
177,151,147,112,112,True,True
178,147,151,112,112,True,True
179,360,358,288,288,True,True
180,358,360,288,288,True,True
181,358,349,127,127,True,True
