u,v,walk_dis_m,car_dis_m
1,2,4,4
2,1,4,4
2,3,41,41
3,2,41,41
3,4,46,46
4,3,46,46
4,5,14,14
5,4,14,14
5,6,55,55
6,5,55,55
6,7,24,24
7,6,24,24
7,8,45,45
8,7,45,45
8,9,4,4
9,8,4,4
9,10,94,94
10,9,94,94
10,11,37,37
11,10,37,37
11,12,24,24
12,11,24,24
12,13,40,40
13,12,40,40
14,15,65,65
15,14,65,65
15,16,44,44
16,15,44,44
16,17,25,25
17,16,25,25
17,18,21,21
18,17,21,21
18,19,7,7
19,18,7,7
19,20,11,11
20,19,11,11
20,21,19,19
21,20,19,19
21,22,23,23
22,21,23,23
22,23,28,28
23,22,28,28
23,24,43,43
24,23,43,43
24,25,61,61
25,24,61,61
25,26,14,14
26,25,14,14
26,27,56,56
27,26,56,56
27,28,3,3
28,27,3,3
28,29,28,28
29,28,28,28
29,30,9,9
30,29,9,9
30,31,53,53
31,30,53,53
31,32,21,21
32,31,21,21
33,34,7,7
34,33,7,7
34,35,17,17
35,34,17,17
35,36,81,81
36,35,81,81
36,37,32,32
37,36,32,32
37,38,98,98
38,37,98,98
38,39,4,4
39,38,4,4
39,40,4,4
40,39,4,4
40,41,74,74
41,40,74,74
33,42,89,89
42,33,89,89
42,43,44,44
43,42,44,44
43,44,90,90
44,43,90,90
44,45,46,46
45,44,46,46
45,46,3,3
46,45,3,3
46,47,18,18
47,46,18,18
47,48,32,32
48,47,32,32
48,49,41,41
49,48,41,41
49,50,8,8
50,49,8,8
50,51,6,6
51,50,6,6
51,52,26,26
52,51,26,26
52,53,3,3
53,52,3,3
53,54,12,12
54,53,12,12
54,55,28,28
55,54,28,28
55,56,28,28
56,55,28,28
56,57,22,22
57,56,22,22
58,59,8,8
59,58,8,8
59,60,75,75
60,59,75,75
60,61,27,27
61,60,27,27
61,62,28,28
62,61,28,28
62,63,14,14
63,62,14,14
63,64,14,14
64,63,14,14
64,65,14,14
65,64,14,14
65,66,15,15
66,65,15,15
66,67,28,28
67,66,28,28
67,68,7,7
68,67,7,7
68,69,17,17
69,68,17,17
69,70,23,23
70,69,23,23
70,71,5,5
71,70,5,5
71,72,22,22
72,71,22,22
72,73,64,64
73,72,64,64
73,74,21,21
74,73,21,21
74,75,25,25
75,74,25,25
75,76,14,14
76,75,14,14
76,77,26,26
77,76,26,26
77,78,20,20
78,77,20,20
78,79,19,19
79,78,19,19
79,80,31,31
80,79,31,31
80,81,12,12
81,80,12,12
81,82,37,37
82,81,37,37
82,83,36,36
83,82,36,36
83,84,26,26
84,83,26,26
84,85,8,8
85,84,8,8
85,86,17,17
86,85,17,17
86,87,35,35
87,86,35,35
87,88,7,7
88,87,7,7
88,89,62,62
89,88,62,62
89,90,85,85
90,89,85,85
90,91,15,15
91,90,15,15
92,93,53,53
93,92,53,53
13,94,65,65
94,13,65,65
94,95,22,22
95,94,22,22
95,96,15,15
96,95,15,15
96,97,19,19
97,96,19,19
97,98,18,18
98,97,18,18
98,99,4,4
99,98,4,4
99,100,48,48
100,99,48,48
100,101,3,3
101,100,3,3
101,102,68,68
102,101,68,68
102,103,22,22
103,102,22,22
103,104,15,15
104,103,15,15
104,105,15,15
105,104,15,15
105,106,31,31
106,105,31,31
106,107,13,13
107,106,13,13
107,108,20,20
108,107,20,20
108,109,21,21
109,108,21,21
109,110,19,19
110,109,19,19
110,111,10,10
111,110,10,10
111,112,27,27
112,111,27,27
112,113,43,43
113,112,43,43
113,114,30,30
114,113,30,30
114,115,89,89
115,114,89,89
116,117,2000000000,23
117,116,2000000000,2000000000
117,118,2000000000,20
118,117,2000000000,2000000000
118,119,2000000000,13
119,118,2000000000,2000000000
119,120,2000000000,14
120,119,2000000000,2000000000
120,121,2000000000,20
121,120,2000000000,2000000000
121,122,2000000000,17
122,121,2000000000,2000000000
122,123,2000000000,15
123,122,2000000000,2000000000
123,124,2000000000,17
124,123,2000000000,2000000000
124,125,2000000000,16
125,124,2000000000,2000000000
125,126,2000000000,18
126,125,2000000000,2000000000
127,128,2000000000,20
128,127,2000000000,2000000000
128,129,2000000000,17
129,128,2000000000,2000000000
129,130,2000000000,21
130,129,2000000000,2000000000
130,131,2000000000,26
