street_id,name,length_m,car_flag,walk_flag
1,东莞庄南街,565,0,1
2,东莞庄路,1090,1,1
3,东门路,410,1,1
4,中山东路,294,1,1
5,中山西路,111,1,1
6,中山路,173,1,1
7,九一八路,424,1,1
8,九峰山路,195,1,1
9,五山路,1411,1,1
10,五山路辅路,527,1,1
11,北湖北路,591,1,1
12,北湖南路,513,1,1
13,半山东路,314,1,1
14,半山西路,317,1,1
15,华南理工大学正门路,396,1,1
16,南山路,238,1,1
17,南湖西路,145,1,1
18,大明山路,167,1,1
19,大瑶山路,182,1,1
20,岷江路,415,1,1
21,嵩山路,310,1,1
22,工农路,479,1,1
23,月亮山路,270,1,1
24,泰山路,328,1,1
25,湖滨北路,360,1,1
26,湖滨南路,853,1,1
27,漓江路,856,1,1
28,独秀峰路,418,1,1
29,珠江北路,415,1,1
30,珠江南路,256,1,1
31,白石山路,221,1,1
32,百步梯,84,0,1
33,科技园便道,77,0,1
34,科技园路,197,1,1
35,罗浮山路,264,1,1
36,西湖南路,276,0,1
37,辽河路,363,1,1
38,金钟山路,255,1,1
39,金颖西一街,224,1,1
40,金颖西三街,126,1,1
41,长江南路,881,1,1
42,青秀山路,174,1,1
43,鱼峰山路,268,1,1
44,黄山路,233,1,1
